T_Bottom,Time,X,Y,Temp(degC)
100,1,50,1.96,99.62272281
100,1,50,1.98,99.61990313
100,1,50,2,99.61709521
100,1.5,50,0.02,100
100,1.5,50,0.04,99.99362557
100,1.5,50,0.06,99.98735749
100,1.5,50,0.08,99.98119578
100,1.5,50,0.1,99.97514043
100,1.5,50,0.12,99.96919144
100,1.5,50,0.14,99.96334881
100,1.5,50,0.16,99.95761255
100,1.5,50,0.18,99.95198264
100,1.5,50,0.2,99.9464591
100,1.5,50,0.22,99.94104191
100,1.5,50,0.24,99.93573109
100,1.5,50,0.26,99.93052663
100,1.5,50,0.28,99.92542853
100,1.5,50,0.3,99.92043679
100,1.5,50,0.32,99.91555141
100,1.5,50,0.34,99.91077239
100,1.5,50,0.36,99.90609974
100,1.5,50,0.38,99.90153345
100,1.5,50,0.4,99.89707351
100,1.5,50,0.42,99.89271994
100,1.5,50,0.44,99.88847273
100,1.5,50,0.46,99.88433188
100,1.5,50,0.48,99.88029739
100,1.5,50,0.5,99.87636926
100,1.5,50,0.52,99.8725475
100,1.5,50,0.54,99.86853748
100,1.5,50,0.56,99.86455461
100,1.5,50,0.58,99.86059888
100,1.5,50,0.6,99.85667029
100,1.5,50,0.62,99.85276885
100,1.5,50,0.64,99.84889455
100,1.5,50,0.66,99.8450474
100,1.5,50,0.68,99.84122739
100,1.5,50,0.7,99.83743452
100,1.5,50,0.72,99.83366879
100,1.5,50,0.74,99.82993021
100,1.5,50,0.76,99.82621877
100,1.5,50,0.78,99.82253448
100,1.5,50,0.8,99.81887733
100,1.5,50,0.82,99.81524732
100,1.5,50,0.84,99.81164446
100,1.5,50,0.86,99.80806874
100,1.5,50,0.88,99.80452016
100,1.5,50,0.9,99.80099873
100,1.5,50,0.92,99.79750444
100,1.5,50,0.94,99.79403729
100,1.5,50,0.96,99.79059729
100,1.5,50,0.98,99.78718443
100,1.5,50,1,99.78379872
100,1.5,50,1.02,99.78044015
100,1.5,50,1.04,99.77708791
100,1.5,50,1.06,99.7737519
100,1.5,50,1.08,99.77043211
100,1.5,50,1.1,99.76712855
100,1.5,50,1.12,99.76384121
100,1.5,50,1.14,99.7605701
100,1.5,50,1.16,99.75731522
100,1.5,50,1.18,99.75407656
100,1.5,50,1.2,99.75085413
100,1.5,50,1.22,99.74764792
100,1.5,50,1.24,99.74445794
100,1.5,50,1.26,99.74128419
100,1.5,50,1.28,99.73812666
100,1.5,50,1.3,99.73498535
100,1.5,50,1.32,99.73186027
100,1.5,50,1.34,99.72875142
100,1.5,50,1.36,99.72565879
100,1.5,50,1.38,99.72258239
100,1.5,50,1.4,99.71952222
100,1.5,50,1.42,99.71647827
100,1.5,50,1.44,99.71345054
100,1.5,50,1.46,99.71043904
100,1.5,50,1.48,99.70744377
100,1.5,50,1.5,99.70446472
