T_Bottom,Time,X,Y,Temp(degC)
100,1.5,0,0.14,99.96333621
100,1.5,0,0.16,99.95759864
100,1.5,0,0.18,99.95196765
100,1.5,0,0.2,99.94644325
100,1.5,0,0.22,99.94102544
100,1.5,0,0.24,99.93571422
100,1.5,0,0.26,99.93050958
100,1.5,0,0.28,99.92541153
100,1.5,0,0.3,99.92042007
100,1.5,0,0.32,99.9155352
100,1.5,0,0.34,99.91075691
100,1.5,0,0.36,99.90608521
100,1.5,0,0.38,99.9015201
100,1.5,0,0.4,99.89706158
100,1.5,0,0.42,99.89270964
100,1.5,0,0.44,99.8884643
100,1.5,0,0.46,99.88432553
100,1.5,0,0.48,99.88029336
100,1.5,0,0.5,99.87636778
100,1.5,0,0.52,99.87254878
100,1.5,0,0.54,99.86853813
100,1.5,0,0.56,99.8645547
100,1.5,0,0.58,99.8605985
100,1.5,0,0.6,99.85666953
100,1.5,0,0.62,99.85276778
100,1.5,0,0.64,99.84889325
100,1.5,0,0.66,99.84504595
100,1.5,0,0.68,99.84122588
100,1.5,0,0.7,99.83743303
100,1.5,0,0.72,99.83366741
100,1.5,0,0.74,99.82992901
100,1.5,0,0.76,99.82621783
100,1.5,0,0.78,99.82253388
100,1.5,0,0.8,99.81887716
100,1.5,0,0.82,99.81524766
100,1.5,0,0.84,99.81164539
100,1.5,0,0.86,99.80807034
100,1.5,0,0.88,99.80452252
100,1.5,0,0.9,99.80100192
100,1.5,0,0.92,99.79750855
100,1.5,0,0.94,99.7940424
100,1.5,0,0.96,99.79060348
100,1.5,0,0.98,99.78719178
100,1.5,0,1,99.78380731
100,1.5,0,1.02,99.78045006
100,1.5,0,1.04,99.77709728
100,1.5,0,1.06,99.77376073
100,1.5,0,1.08,99.77044043
100,1.5,0,1.1,99.76713637
100,1.5,0,1.12,99.76384855
100,1.5,0,1.14,99.76057697
100,1.5,0,1.16,99.75732164
100,1.5,0,1.18,99.75408255
100,1.5,0,1.2,99.75085969
100,1.5,0,1.22,99.74765308
100,1.5,0,1.24,99.74446272
100,1.5,0,1.26,99.74128859
100,1.5,0,1.28,99.73813071
100,1.5,0,1.3,99.73498907
100,1.5,0,1.32,99.73186367
100,1.5,0,1.34,99.72875451
100,1.5,0,1.36,99.72566159
100,1.5,0,1.38,99.72258492
100,1.5,0,1.4,99.71952448
